FULL,ABBR
CSC-1STDEGREE(ACCOMPLICES),CRIM SEX CONDUCT
CSC1ST-PENETRATIONORAL/ANAL,CRIM SEX CONDUCT
CSC1ST-PENETRATIONPENIS/VAGINA,CRIM SEX CONDUCT
CSC2ND-FORCIBLECONTACT,CRIM SEX CONDUCT
CSC-3RDDEGREE,CRIM SEX CONDUCT
CSC3RD-PENETRATIONORAL/ANAL,CRIM SEX CONDUCT
CSC3RD-PENETRATIONPENIS/VAGINA,CRIM SEX CONDUCT
CSC4TH-FORCIBLECONTACT,CRIM SEX CONDUCT
CSC-ASSAULTWITHINTENTTOCOMMITSEXUALPENETRATION,CRIM SEX CONDUCT
CSC-FIRSTDEGREE(MULTIPLEVARIABLES),CRIM SEX CONDUCT
CSC-FIRSTDEGREE(PERSONALINJURY),CRIM SEX CONDUCT
CSC-FIRSTDEGREE(PERSONUNDERTHIRTEEN),CRIM SEX CONDUCT
CSC-FIRSTDEGREE(RELATIONSHIP),CRIM SEX CONDUCT
CSC-FIRSTDEGREE(WEAPONUSED),CRIM SEX CONDUCT
CSC-FOURTHDEGREE(FORCEORCOERCION),CRIM SEX CONDUCT
CSC-FOURTHDEGREE(INCAPACITATEDVICTIM),CRIM SEX CONDUCT
CSC-FOURTHDEGREE(MULTIPLEVARIABLES),CRIM SEX CONDUCT
CSC-FOURTHDEGREE-VICTIMBETWEEN13-16,CRIM SEX CONDUCT
CSC-GROSSINDECENCY-MALE&FEMALE-COMMITTING/PROCURING,CRIM SEX CONDUCT
CSC-GROSSINDECENCY-MALES-COMMITTING/PROCURING,CRIM SEX CONDUCT
CSC-SECONDDEGREE(MULTIPLEVARIABLES),CRIM SEX CONDUCT
CSC-SECONDDEGREE(PERSONUNDERTHIRTEEN),CRIM SEX CONDUCT
CSC-SECONDDEGREE(RELATIONSHIP),CRIM SEX CONDUCT
CSC-THIRDDEGREE(INCEST),CRIM SEX CONDUCT
CSC-THIRDDEGREE(MULTIPLEVARIABLES),CRIM SEX CONDUCT
CSC-THIRDDEGREE(PERSONTHIRTEENTHROUGHFIFTEEN),CRIM SEX CONDUCT
CVWARRANTCHILDSUPPORT,WARRANT CHILD SUPPORT
CWCHILDSUPPORT,CHILD SUPPORT
CWFTACHILDSUPPORT,CHILD SUPPORT
CW-NEGLECTCHILDSUPP.,CHILD SUPPORT/NEGLECT
DISORDERLYCONDUCT,DISORDERLY CONDUCT
DISORDERLYPERSON,DISORDERLY PERSON
DISORDERLYPERSON-BEGGING,DISORDERLY/BEGGING
DISORDERLYPERSON-DRUNK,DISORDERLY/DRUNK
DISORDERLYPERSON-LOITERINGABOUTILLEGALBUSINESS,DISORDERLY/LOITERING
DISORDERLYPERSON-URINATINGINPUBLIC/OBSCENECONDUCT,DISORDERLY/OBSCENE CONDUCT
DISTURBINGTHEPEACE,DISTURBING THE PEACE
DOMESTICVIOLENCE,DOM VIOLENCE
DOMESTICVIOLENCE-2NDOFFENSENOTICE,DOM VIOLENCE/2ND OFF
DOMESTICVIOLENCE-AGGRAVATED,AGG DOM VIOLENCE
DOMESTICVIOLENCE-PERSONALPROTECTIONORDER,DOM VIOLENCE/PROTECT ORDER
DOMESTICVIOLENCE-THIRDOFFENSENOTICE,DOM VIOLENCE/3RD OFF
DRIVING-RECKLESS,RECKLESS DRIVING
DWLS,DWLS
EGELERCORR,EGELERCORR
"EMBEZZLEMENT-AGENTORTRUSTEE$20,000.00ORMORE",EMBEZZLEMENT
EMERGENCYVEHICLEVIOLATIONS,EMERG VEHICLE VIOLATION
ESCAPE-LAWFULCUSTODY,ESCAPE
EXTORTION,EXTORTION
F/WUDAA,F/W UDAA
FAILURETOCOMPLYWITHREPORTINGDUTIES(SEXOFFENDER),FAIL TO COMPLY/SEX OFF
FAILURETOREGISTERASSEXOFFENDER,FAIL TO REGISTER/SEX OFF
FAILURETOREPORTACCIDENT,FAIL TO REPORT ACCIDENT
FAILURETOSTOP,FAIL TO STOP
FAILURETOSTOPATSCENEOFASERIOUSPERSONALINJURYACCIDENT,FAIL TO STOP ACCIDENT SCENE
FAILURETOSTOPATSCENEOFPROPERTYDAMAGEACCIDENT(ATTENDEDVEHICLE),FAIL TO STOP ACCIDENT SCENE
"FALSEPRETENSES-$1,000.00ORMOREBUTLESSTHAN$20,000.00",FALSE PRETENSES
"FALSEPRETENSES-$200.00ORMOREBUTLESSTHAN$1,000.00-SECONDORSUBSEQUENTOFFENSENOTICE",FALSE PRETENSES
FALSEPRETENSES-LESSTHAN$200.00,FALSE PRETENSES
FALSEREPORTOFAFELONY,FALSE REPORT
FAMILY-NON-PAYMENTOFCHILDSUPPORT,CHILD SUPPORT
FBIDETROITFLIGHTTOAVO,FLIGHT
FLIGHTTOAVOIDPROSECUTION,FLIGHT AVOID PROSECUTE
FOC,FOC
FOCKALAMAZOOCOUNTY,KALAMAZOO COUNTY
FORGERY-UTTERING&PUBLISHING,FORGERY
FRAUD-FALSESTATEMENT/FALSEPRETENSES,FRAUD
FRAUD-ILLEGALUSEOFCREDITCARD,FRAUD
FRAUD-IMPERSONATEFEDOFC,FRAUD
FRAUD-OTHER(USENOTES),FRAUD
FRAUD-UTTERING/PUBLISHING(U&P),FRAUD
FRAUD-WELFARE(FAILURETOINFORM)$500.00ORMORE,FRAUD
FRAUD-WELFARE(FAILURETOINFORM)LESSTHAN$500.00,FRAUD
"FRAUD-WELFARE,$500.00ORLESS",FRAUD
"FRAUD-WELFARE,OVER$500.00",FRAUD
FTAOBSTRUCTOFJUSTICE,OBSTRUCT JUSTICE
FTD-POSSESSION,FTD POSSESS
FTD-STEAL/RETAINW/OCONSENT,FTD STEAL
FTPF&CSPEEDINGTICKET,SPEED TICKET
FW/FRAUD,FW FRAUD
FW-ASSLTW/INTENT-MURDER,FW ASSAULT W/ INT TO MURDER
FWCSC3RD41-ADC,FWCSC
FWLARC12THDC,FW LARCENY
FWPOSSNARC/COCAINE,FW POSS NARCOTIC/COCAINE
GENESEE/FLINTPAROLE,PAROLE VIOLATION
GLADWINCOPAROLE,PAROLE VIOLATION
GRPAROLE,PAROLE VIOLATION
GRPAROLEDETAINER,PAROLE VIOLATION
GRPAROLEHOLD,PAROLE VIOLATION
GRPAROLEWARRANT,PAROLE VIOLATION
HABITUALOFFENDER-2NDOFFENSENOTICE,HABITUAL OFF 2ND OFF
HABITUALOFFENDER-3RDOFFENSENOTICE,HABITUAL OFF 3RD OFF
HABITUALOFFENDER-4THOFFENSENOTICE,HABITUAL OFF 4TH OFF
HEALTHCAREFRAUD-GENERALVIOLATION,HEALTH CARE FRAUD
HINDERINGANDOPPOSINGAPOLICEOFFICER,HINDERING POLICE
HOLD,HOLD
HOLD/CARSONCITY,HOLD
HOLD-BROOKS,HOLD
HOLDERFORNEWAYGO,HOLD
HOLDOTTAWA,HOLD
HOLDOTTAWACO,HOLD
HOLD-OTTAWACO,HOLD
HOLLANDPAROLE,HOLD/PAROLE
HOMEINVASION-1STDEGREE,HOME INVASION
HOMEINVASION-2NDDEGREE,HOME INVASION
HOMEINVASION-3RDDEGREE,HOME INVASION
HOMICIDE-FELONYMURDER,HOMICIDE FELONY MURDER
HOMICIDE-OPENMURDER-STATUTORYSHORTFORM,HOMICIDE OPEN MURDER
HUNTINGANDFISHINGLICENSE-GENERALVIOLATION,HUNT/FISH LIC VIOLATION
IMMG,IMMIGRATION
IMMGDETAINER,IMMIGRATION
IMMGRATION,IMMIGRATION
IMMIGRATIONDETAINER,IMMIGRATION
IMMIGRATIONDETANER,IMMIGRATION
IMMIGRATIONHOLD,IMMIGRATION
IMPERSONATEPOLICEOFFICER-TOCOMMITCRIME,IMPERSONATE POLICE
INDECENTEXPOSURE,INDECENT EXPOSURE
INMATEDETAINER,INMATE DETAINER
INNKEEPER-DEFRAUDING,DEFRAUD INNKEEPER
INVADEPRIVACY-OTHER,INVADE PRIVACY
JUVENILEHOLD/17THF,JUVENILE HOLD
JUVENILEHOLDFROMCOURTORRUNAWAY,JUVENILE HOLD
KENT/GRPAROLE,PAROLE VIOLATION
KENT/GRPAROLEHOLD,PAROLE VIOLATION
KENTCOPAROLE,PAROLE VIOLATION
KENTPAROLE,PAROLE VIOLATION
KENTPAROLEDETAINER,PAROLE VIOLATION
KIDNAP-ADULT,KIDNAP ADULT
LARC/BLDGPV,LARCENY
"LARCENY-$1,000.00ORMOREBUTLESSTHAN$20,000.00",LARCENY
"LARCENY-$200.00ORMOREBUTLESSTHAN$1,000.00",LARCENY
"LARCENYBYCONVERSION-$200.00ORMOREBUTLESSTHAN$1,000.00",LARCENY
LARCENY-FROMAMOTORVEHICLE,LARCENY
LARCENY-FROMBUILDING,LARCENY
LARCENY-FROMPERSON,LARCENY
LARCENY-INABUILDING,LARCENY
LARCENY-LESSTHAN$200.00,LARCENY
LARCENY-RPNO-OTHER(USENOTES),LARCENY
LICENSEDOCUMENTS/PLATES-FORGERY,FORGERY DOCUMENT/PLATES
LIVINGSTONCO,HOLD
MDOCHOLD,HOLD
MDOCHOLD/WESTSHORECORR,HOLD
"MDOP-BUILDING-$200.00ORBUTLESSTHAN$1,000.00",MDOP
MDOP-FIREORPOLICEPROPERTY,MDOP
"MDOP-PERSONALPROPERTY-$1,000.00ORMOREBUTLESSTHAN$20,000.00",MDOP
"MDOP-PERSONALPROPERTY-$200.00ORMOREBUTLESSTHAN$1,000.00",MDOP
MDOP-PERSONALPROPERTY-LESSTHAN$200.00,MDOP
MDOP-POLICE/FIREPROPERTY,MDOP
MISDFALSEINFO,FALSE INFO
MISDWARRANTTRAFFIC,TRAFFIC WARRANT
MOTORVEHICLE-NOINSURANCE,NO INSURANCE
MOTORVEHICLE-UNLAWFULDRIVINGAWAY,MV VIOLATION
MOTORVEHICLE-UNLAWFULUSE,UNLAWFUL USE OF MV
MOVINGTRAFFICVIOLATION,MOVING VIOLATION
MUSKEGONFOC,FOC
MUSKEGONTWPLARGAS,MUSKEGON
MV-DRIVER'SLIC-FORGED,FORGED DRIVERS LIC
MV-FAILURETOTRANSFERTITLE1,FAIL TO TRANSFER TITLE
MV-LICENSEPLATE-UNLAWFULUSE,UNLAWFUL USE OF PLATES
MV-OPERATING-LICENSE-FORGERY/ALTERATION/FALSEID,MV VIOLATION
MV-OPERATING-NOLICENSE/MULTIPLELICENSES/EXPOPS,MV VIOLATION
MV-OPERATING-VIOLATIONOFLICENSERESTRICTIONS,MV VIOLATION
MV-OPERATINGWITHOUTLICENSEONPERSON,MV VIOLATION
MV-TEMPORARYREGISTRATIONPLATEVIOLATIONS,MV VIOLATION
MW-BURGLARY,BURGLARY
MWFTATRAFFIC,FTA TRAFFIC
MWLARCENY,LARCENY
MW-NOLICENSE,NO LICENSE
MWOPENINTOX75TH,OPEN INTOXICATION
MWTRAFFIC,TRAFFIC VIOL
NEWAYGOCOFOC,FOC
NON-MOVINGTRAFFICVIOLATION,NON MOVING VIOLATION
NOOPS,NOOPS
OBSCENITY-CHILDSEXUALLYABUSIVEACTIVITY-DISTRIBUTINGORPROMOTING,OBSCENITY/MINOR
OBSTRUCTPOLICE-FAILTOMOVEON/OBEY,FAIL TO OBEY POLICE
OBSTRUCTPOLICE-FALSEINFO,FALSE INFO TO POLICE
OBSTRUCTPOLICE-FLEEING&ELUDING,FLEE AND ELUDE 
OBSTRUCTPOLICE-OTHER(USENOTES),OBSTRUCT POLICE
OBSTRUCTPOLICE-RESISTINGOFFICER,RESIST OFFICER
OPENINTOXB/W,OPEN INTOXICATION
OPERATING-IMPAIRED,OPERATE IMPAIRED
"OPER-LICENSESUSP,REV,DEN/ALLOWASUSPPERSONTOOPER",LIC VIOLATION
"OPER-LICSUSP,REV,DEN/ALLOWSUSPPEROPER-2NDORSUBS",LIC VIOLATION
"OPER-LICSUSP,REV,DENIED-CAUSINGSERIOUSINJURY",LIC VIOLATION
OPER-SUSPENDEDORREVOKEDLICENSE,LIC VIOLATION
OPER-SUSPENDEDORREVOKEDLICENSE-2NDORSUBSEQUENT,LIC VIOLATION
OPERW/PRESENCECONTSUB,OPERATE W/ CONTROL SUBST
OTTAWACOUNTYHOLD,HOLD
OWI;DWLS,OWI
OWI-CAUSINGDEATH,OWI CAUSE DEATH
OWI-OPERATEUNDERINFLUENCELIQ,OWI 
OWI-OPERATING-BACOF10%ORMORE,OWI .10 OR MORE
OWI-OPERATINGWHILEINTOXICATED,OWI 
OWI-OUIL/PERSE/OWI-2NDOFFENSE,OWI 2ND OFF
OWI-OUIL/PERSE/OWI-3RDOFF-FELONY,OWI 3RD OFF
OWI-OUIL-CAUSINGSERIOUSINJURY,OWI INJURY
OWI-OUIL-OCCUPANTL/T16-2NDORSUBOFF,OWI OCCUPANT UNDER 16
OWI-OUIL-OCCUPANTLESSTHAN16,OWI OCCUPANT UNDER 16
PAROLE/DETAINER,PAROLE DETAINER
PAROLE:KENT,PAROLE VIOLATION
PAROLEABSCONDER,PAROLE ABSCONDER
PAROLEABSCONDER/KENT,PAROLE ABSCONDER
PAROLEDEAINER/KENT,PAROLE DETAINER
PAROLEDETAINER,PAROLE DETAINER
PAROLEDETAINER/KENT,PAROLE DETAINER
PAROLEDETAINER/MIDLAND,PAROLE DETAINER
PAROLEDETAINERUSEOFMJ,PAROLE DETAINER
PAROLEHOLD,PAROLE VIOLATION
"PAROLEHOLD,KENT",PAROLE VIOLATION
PAROLEHOLD/KENT,PAROLE VIOLATION
PAROLEHOLD:KENT/GR,PAROLE VIOLATION
PAROLEHOLD-GRANDRAPIDS,PAROLE VIOLATION
PAROLEKENT,PAROLE VIOLATION
PAROLEVIO,PAROLE VIOLATION
PAROLEVIO/KENT,PAROLE VIOLATION
PAROLEVIOL,PAROLE VIOLATION
PAROLEVIOL/DETAINER,PAROLE VIOLATION
PAROLEVIOL/KENT,PAROLE VIOLATION
PAROLEVIOLATION,PAROLE VIOLATION
PERJURY-COURTPROCEEDING,PERJURY
POLICEOFFICER-ASSAULTING/RESISTING/OBSTRUCTINGCAUSINGINJURY,ASSAULT POLICE
POLICEOFFICER-FLEEING-FIRSTDEGREE-VEHICLECODE,FLEEING
POLICEOFFICER-FLEEING-FOURTHDEGREE,FLEEING
POLICEOFFICER-FLEEING-SECONDDEGREE-VEHICLECODE,FLEEING
POLICEOFFICER-FLEEING-THIRDDEGREE-VEHICLECODE,FLEEING
POLICEOFFICER-REFUSALTOOBEYTRAFFICORDER,FAIL TO OBEY POLICE
PROBATIONDETAINER,PROB DETAINER
PROBATIONVIOLATION,PROB VIOLATION
PROBVIOL,PROB VIOLATION
PROBVIOLATION,PROB VIOLATION
PROSTITUTION-2NDOFFENSE,PROSTITUTION
PROSTITUTION-3RDOFFENSE,PROSTITUTION
PROSTITUTION-ACCOSTING&SOLICITING,PROSTITUTION
PUBLICOFFICER-BRIBERY,BRIBE PUBLIC OFFICER
PVBATONROUGELA,PROB VIOLATION
RESISTING&OBSTRUCTING,RESISTING AND OBSTRUCTING
RETAILFRAUD-FIRSTDEGREE,RETAIL FRAUD
RETAILFRAUD-SECONDDEGREE,RETAIL FRAUD
RETAILFRAUD-THEFT1STDEGREE,RETAIL FRAUD
RETAILFRAUD-THEFT2NDDEGREE,RETAIL FRAUD
RETAILFRAUD-THEFT3RDDEGREE,RETAIL FRAUD
RETAILFRAUD-THIRDDEGREE,RETAIL FRAUD
ROBBERY-ARMED,ARMED ROBBERY
ROBBERY-BANKROBBERY,BANK ROBBERY
ROBBERY-UNARMED,ROBBERY
SEXOFFENDERS-DIVULGINGREGISTRATIONINFORMATION,SEX OFFENDER VIOLATION
SEXOFFENDERS-FAILURETOCOMPLYWITHREPORTINGDUTIES,SEX OFFENDER VIOLATION
SEXOFFENDERS-FAILURETOREGISTER,SEX OFFENDER VIOLATION
SEXOFFENDERS-FAILURETOREGISTER-SECONDOFFENSENOTICE,SEX OFFENDER VIOLATION
SEXOFFENDERS-FAILURETOREGISTERTHIRDORSUBSEQUENTOFFENSENOTICE,SEX OFFENDER VIOLATION
SEXOFFENSE-SEXUALLYDELINQUENTPERSON,SEX OFFENDER VIOLATION
SOR:FAILTOREG2ND,FAIL TO REGISTER
STALKING,STALKING
STALKING-AGGRAVATED,AGG STALKING
STATE/LOCAL-MATERIALWITNESSWITHAUTHORIZEDDETENTION,MATERIAL WITNESS
STOLENPROPERTY-RECEIVING&CONCEALING,RECEIVE STOLEN PROPERTY
"STOLENPROPERTY-RECEIVINGANDCONCEALING-$1,000.00ORMOREBUTLESSTHAN$20,000.00",RECEIVE STOLEN PROPERTY
"STOLENPROPERTY-RECEIVINGANDCONCEALING$1,000.00ORMOREBUTLESSTHAN$20,000.00-THIRDORSUB",RECEIVE STOLEN PROPERTY
"STOLENPROPERTY-RECEIVINGANDCONCEALING-$20,000.00ORMORE",RECEIVE STOLEN PROPERTY
"STOLENPROPERTY-RECEIVINGANDCONCEALING$200.00ORMOREBUTLESSTHAN$1,000.00",RECEIVE STOLEN PROPERTY
"STOLENPROPERTY-RECEIVINGANDCONCEALING-$200.00ORMOREBUTLESSTHAN$1,000.00-SECONDORSUB",RECEIVE STOLEN PROPERTY
STOLENPROPERTY-RECEIVINGANDCONCEALINGLESSTHAN$200.00,RECEIVE STOLEN PROPERTY
STOLENPROPERTY-RECEIVINGANDCONCEALING-MOTORVEHICLE,RECEIVE STOLEN PROPERTY
TAXES-INCOMETAX,INCOME TAX
TELECOMM-MALUSEOFSERVICES,MISUSE TELECOMM
TELEPHONE-TAPPING/CUTTINGLINES/INTERRUPT911CALL,TAP/CUT PHONE LINE
THEFTDETDEV-DEACTIVATE/REMOVE,THEFT
TRESPASS,TRESPASS
UNLAWFULIMPRISONMENT,UNLAWFUL IMPRISONMENT
VCSA-2NDOFFNOTICEDOUBLEPENALTY,VCSA 2ND OFF
VCSA-COCAINE-SELL/DELIVERY,VCSA SELL COCAINE
VCSA-CRACK-POSSESS,VCSA CRACK
VCSA-CREATE/DELOFANANALOGUE,VCSA
VCSA-DANGEROUSDRUGS-OTHER,VCSA
VCSA-DEL/MANF(NARCORCOC)50-449GRAMS,VCSA DELIV/MANUF NARCOTIC
VCSA-DEL/MANF5-45KILOGRAMSOFMARIJ,VCSA DELIV/MANUF MARIJ
VCSA-DEL/MANFMARIJUANA,VCSA DELIV/MANUF MARIJ
VCSA-DELIVERY/MANUFACTURE(NARCOTICORCOCAINE)LESSTHAN50GRAMS,VCSA DELIV/MANUF COCAINE
VCSA-HEROIN-POSSESS,VCSA HEROIN
VCSA-MAINTAINADRUGHOUSE,VCSA DRUG HOUSE
VCSA-MARIJUANA-POSSESS,VCSA MARIJUANA
VCSA-MARIJUANA-SELL/DELIVERY,VCSA SELL MARIJUANA
VCSA-MARIJUANA-USE,VCSA MARIJUANA
VCSA-OBTAINBYFRAUD,VCSA OBTAIN BY FRAUD
VCSA-POSS(NARCORCOC),VCSA NARCOTICS
VCSA-POSS(NARCORCOC)50-499GRAMS,VCSA NARCOTICS
VCSA-POSS/ANALOGUES,VCSA
VCSA-POSS/SALEOFPARAPHERNALIA,VCSA SELL PARAPHERNALIA
VCSA-POSSESSIONOFMARIJUANA,VCSA POSS MARIJUANA
VCSA-POSSOFMETHAMPHETAMINE/ECSTASY,VCSA METH/ECSTACY
VCSA-POSSW/ITODELONSCHOOLPROP(NARCORCOCL/T50GRAMS),VCSA/NARC ON SCHOOL PROP
VCSA-SYNTHETICNARC-POSSESS,VCSA SYNTHETIC NARCOTIC
"VCSA-USE(NARC,COCORMETH)",VCSA NARC OR COCAINE
VCSA-USEOFMARIJUANA,VCSA MARIJUANA
"VEHICLETHEFT,AID/ABET",MV THEFT AID/ABET
"WEAPONS-CARRYINGCONCEALED,CCW",CONCEAL WEAPON
WEAPONS-CCW-(SPECIFYWEAPONINNOTES),WEAPONS
WEAPONS-DANGEROUSWEAPON-CARRYINGWITHUNLAWFULINTENT,DANGER WEAPON W/ INT
WEAPONS-DANGEROUSWEAPON-MISCELLANEOUS,WEAPONS
WEAPONS-FELONINPOSSESSOFFIREARM,FELON IN POSS FIREARM
WEAPONS-FELONYFIREARM,WEAPONS
WEAPONS-FIREARMS-ALTERINGIDMARKS,ALTER FIREARM
WEAPONS-FIREARMS-DISCHARGEINORATABUILDING,DISCARGE FIREARM
WEAPONS-FIREARMS-POSSESSIONBYFELON,FELON IN POSS FIREARM
WEAPONS-FIREARMS-POSSESSIONOFALOADEDFIREARMINORUPONAVEHICLE,LOADED FIREARM IN MV
WEAPONS-FIREARMS-RECEIVING&CONCEALING,RECEIVE/CONCEAL FIREARM
WEAPONS-FIREARMS-SHORT-BARRELEDSHOTGUN/RIFLE,SHORT BARRELED FIREARM
WEAPONSOFFENSE,WEAPONS
WEAPONS-PISTOLS-CARRYINGCONCEALEDINPROHIBITEDPLACE-3RDORSUBSEQUENTOFFENSE,WEAPON IN PROHIBIT PLACE
