FULL,ABBR
 CARRYING CONCEALED WEAPONS,CARRY CONCEALED WEAPON
 FAILURE TO COMPLY WITH ORDER OR SIGNAL OF POLICE OFFICER *** 2921.331(A)/(B)***,FAIL TO COMPLY W/ ORDER OF POLICE
 CARRYING CONCEALED WEAPONS,CARRY CONCEALED WEAPON
 AGGRAVATED ROBBERY,AGG ROBBERY
 DRUG ABUSE MARIJUANA,DRUG ABUSE MARIJ
 DAMAGING OR ENDANGERING,DAMAGING OR ENDANGERING
 RECEIVING STOLEN PROPERTY,RECEIVE STOLEN PROP
 AGGRAVATED BURGLARY,AGG BURGLARY
 TRAFFICKING IN MARIJUANA *** 2925.03(A)(C)(3)***,TRAFFICK MARIJ
 HARASSMENT BY INMATE,HARASSMENT BY INMATE
 RCV STOLEN PROP,RECEIVE STOLEN PROP
 INCITING TO VIOLENCE,INTICING TO VIOLENCE
 CARRYING CONCEALED WEAPONS,CARRY CONCEALED WEAPON
 ASSAULT/PEACE OFFICER,ASSAULT A PEACE OFFICER
 MISREPRESENTING IDENTITY,MISREPRESENT IDENTITY
 MISUSE OF CREDIT CARD,MISUSE OF CREDIT CARD
 ILLEGAL ASSEMBLY OF DRUGS,ILLEGAL ASSEMBLY OF DRUGS
 DOMESTIC VIOLENCE MENACING,DOMESTIC VIOLENCE MENACING
 UNLAWFUL RESTRAINT,UNLAWFUL RESTRAINT
 CRIMINAL TRESPASS,CRIM TRESPASS
 CRIM TRESPASS,CRIM TRESPASS
 TAMPERING WITH EVIDENCE,TAMPERING W/ EVIDENCE
 POSSESSING CRIMINAL TOOLS,POSS CRIMINAL TOOLS
 DOMESTIC VIOLENCE,DOMESTIC VIOLENCE
 DRUG ABUSE,DRUG ABUSE  
 SOLICITING/PREVIOUSLY,SOLICITING /PREVIOUS
 ILLEGAL CONVEYANCE OF DRUG OF ABUSE ONTO DETENTION FACILITY OR INSTITUTION,ILLEGAL CONVEY DRUGS TO DETENTION FACILITY
 AGGRAVATED POSSESSION OF DRUGS,AGG POSS DRUGS
 RECEIVING STOLEN PROPERTY,RECEIVE STOLEN PROP
 POSSESSION OF HEROIN,POSS HEROIN
 POSSESSION OF DRUGS,POSS DRUGS
 TAMPERING WITH EVIDENCE,TAMPERING W/ EVIDENCE
 ASSAULT,ASSAULT
 PETTY THEFT,PETTY THEFT
 ILLEGAL ASSEMBLY OR POSSESSION OF CHEMICALS FOR THE MANUFACTURE OF DRUGS,ILLEGAL POSS CHEMICALS TO MANUF DRUGS
 POSSESSION OF DRUGS,POSS DRUGS
 UNLAWFUL POSSESSION OF DANGEROUS ORDNANCE,UNLAWFUL POSS OF DANGER ORDNANCE
 ILLEGAL MANUFACTURE OF DRUGS OR CULTIVATION OF MARIHUANA,ILLEGAL MANUF DRUGS/CULTIVATE MARIJ
 VIOLATING PROTECTION ORDER OR CONSENT AGREEMENT,VIOL PROTECTION ORDER
 FAILURE TO COMPLY WITH ORDER OR SIGNAL OF POLICE OFFICER,FAIL TO COMPLY W/ ORDER OF POLICE
 ENGAGING IN PATTERN OF CORRUPT ACTIVITY,ENGAGE IN CORRUPT ACTIVITY
 PERMITTING DRUG ABUSE,PERMIT DRUG ABUSE
 VIOLATION OF TPO/CONSENT,VIOL TPO/CONSENT
 VIOLATION OF TPO,VIOL TPO 
 INJURE/MOLEST POLICE PROP,INJURE POLICE PROP
 POSSESSION OF MARIJUANA,POSS MARIJ
 IDENTITY FRAUD,IDENTITY FRAUD
 MENACING,MENACING 
 ENDANGERING CHILDREN,ENDANGER CHILDREN
 DRIVING WHILE UNDER THE INFLUENCE OF ALCHOL OR DRUGS OR WITH CERTAIN CONCENTRATION OF ALCHOL IN BODILY SUBSTANCES,DWI WITH CERTAIN BLOOD ALCH LEVEL
 COUNTERFEIT CONTROLLED SUBSTANCE,CONTERFEIT CONTROL SUBST
 TAKING THE IDENTITY OF ANOTHER,TAKING IDENTITY 
 DRUG PARAPHERNA,DRUG PARAPHERNALIA
 TRAFFICKING DRUGS,TRAFFICK DRUGS
 NOTICE OF CHANGE OF ADDRESS/NEW ADDRESS,NOTICE OF CHANGE OF ADDRESS VIOL
 DWI,DWI  
 ILLEGAL ASSEMBLY OR POSSESSION OF CHEMICALS FOR THE MANUFACTURE OF DRUGS,ILLEGAL POSS CHEMICALS TO MANUF DRUGS
 DUS OR LICENSE RESTRICTION,LICENSE RESTRICTION
 ATTEMPTED DRUG ABUSE,ATT DRUG ABUSE
 DRIVING UNDER SUSPENSION,DRIVING UNDER SUSPENSION
 PREPARATION DRUG,PREPARATION DRUG
 NONSUPPORT OF DEPENDENTS,NONSUPPORT OF DEPENDENTS
 ATTEMPTED BURGLARY ***2923.02/2911.12(A)(1) ***,ATT BURGLARY
 FAILURE TO COMPLY WITH ORDER OR SIGNAL OF POLICE OFFICER,FAIL TO COMPLY W/ ORDER OF POLICE
 HAVING WEAPONS WHILE UNDER DISABILITY,WEAPONS UNDER DISABILITY
 CONTEMPT OF COURT,CONTEMPT OF COURT
 DISRUPTING PUBLIC SERVICES,DISRUPT PUBLIC SERVICES
 ILLEGAL USE OR POSSESSION OF DRUG PARAPHERNALIA,ILLEGAL POSS DRUG PARAPHERNALIA
 POSSESSION BY UNDERAGE PERSONS,POSS BY UNDERAGE PERSON
 COURTESY HOLD,COURTESY HOLD
 TELECOMMUNICATIONS HARASSMENT,TELECOM HARASSMENT
 UNAUTHORIZED OF MOTOR VEHICLE,UNAUTHORIZED USE OF MV
 VIOLATION OF PROTECTION ORDER,VIOL OF PROTECTION ORDER
 OBSTRUCTING JUSTICE,OBSTRUCTING JUSTICE
 OBSTRUCTING OFFICIAL BUSINESS,OBSTRUCTING OFFICIAL BUSINESS
 HAVING WEAPONS WHILE UNDER DISABILITY,WEAPONS UNDER DISABILITY
 UNAUTHORIZED USE OF VEHICLE,UNAUTHORIZED USE OF MV
 PAROLE VIOLATION,PAROLE VIOLATION
 RESISTING ARREST,RESISTING ARREST
 WEAPONS UNDER DISABILITY,WEAPONS UNDER DISABILITY
 FAILURE TO DISCLOSE PERSONAL INFORMATION,FAIL TO DISCLOSE
 CONTEMPT OF COURT,CONTEMPT OF COURT
 PROBATION VIOLATION,PROBATION VIOLATION
 VIOLATING A PROTECTION ORDER,VIOLATION OF PROTECT ORDER
 MISUSE OF 911,MISUSE 911
 OPEN CONTAINER,OPEN CONTAINER
OBSTRUCT OFF BUSINESS,OBSTRUCT OFF BUSINESS
TAMPERING WITH RECORDS,TAMPERING W/ RECORDS
OBSTRUCTING OFFICIAL BUSINESS,OBSTRUCT OFF BUSINESS
 ,
